Name,Historical Significance,Marital Status,Sex,Birthdate,Deathdate,Date of Appraisal ,Appraiser 1,Appraiser 2,Appraiser 3,Notary,Inventory Purpose,Religion,Nationality,Number of Items,Montias INVNO,Montias INVNO 2,Number of Paintings,Portraits,Rembrandt,Mythology,Still Life,Tapestry,Rariteiten,Textiles,Rubens
Jan Jochemsz. Pol,Carpenter ,,Male,,,,,,,,,,,,,,,,,,,,,,
Sara van Seroij,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Janneken Willems,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Henricus Meijssenius,,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelius van Coeschot de oude,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anna van Basserode,,,Female,1626,1669,,,,,,,,,,,,,,Y,,,,,,
Gerardt Verpoorten,,,Male,,,,,,,,,,,,,,,,,,,,,,
Francois de Coster III,,,Male,1625,1653,,,,,,,,,,,,,,,,,,,,
Francois de Coster II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Francois de Coster I,,,Male,,,,,,,,,,,,,,,,,,,,,,
Antonie van Beaumont,,,Male,,,,,,,,,,,,,,,,,,,,,,
Willem van Dalen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Johan van Overbeke,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jasper Jansz. Ypelaer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Simon van der Does,,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelis van Campen,Alderman,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrick Danckertsz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Herman Jansz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Judith Cornelis,,,Female,,,,,,,,,,,,,,,,,,,,,,
Elias Jansz. ,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrickge Elias,,,Female,,,,,,,,,,,,,,,,,,,,,,
Judith Baserode,,,Female,,,,,,,,,,,,,,,,,,,,,,
Juffr. Badsans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Hendricksz. Grootenhuijs,Merchant,M,Male,,1637,1637/10/07,,,,Laurens Lamberti,Death,Roman Catholic,Dutch,52,Y,469,31,Y,,Y,,,Y,,
Herman Hendricksz. Grotenhuys,,,Male,,,,,,,,,,Dutch,,,,,,,,,,,,
Hendrick Dircksz. Gruys,,,Male,,,,,,,,,,,,,,,,,,,,,,
Grietie Dircks,,M,Female,,,,,,,,,,,,,,,,,,,,Y,,
Annetie Sijmons,,W,Female,1595,1637,1637/10/07,,,,Laurens Lamberti,Death,Roman Catholic,Dutch,52,Y,469,31,Y,,Y,,,,,
Sijmon Sijmonsz.,,,Male,,,,,,,,,,,,Y,146,,,,,,,,,
Joannes Henricus,,,Male,,,,,,,,,,,,,,,,,,,,,,
Joannes Henricus II,,,Male,1629,,,,,,,,,,,,,,,,,,,,,
Laurentius Soms,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Cornelisz. Molenaer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Sijmon Grotenhuys,,,Male,,,,,,,,,,,,,,,,,,,,,,
Claeregen Grotenhuys,,,Female,,,,,,,,,,,,,,,,,,,,,,
Annetjen Grotenhuys,,,Female,,,,,,,,,,,,,,,,,,,,,,
Grietge Schaeff Hendrix,,W,Female,1597,,1639/05/06,,,,Laurens Lamberti,Prenuptial,,Dutch,35,Y,473,35,Y,,,Y,,,,
Roelof Fredericksz. Vos,Merchant,M,Male,,,,,,,,,,,,,,,,,,,,,,
Balthasar van der Veen,Artist,M,Male,,,,,,,,,,Dutch,,,,,,,,,,,,
Jans Haes,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Joost Bourgongie,,,Male,,,,,,,,,,,,,,,,,,,,,,
Margriete van der Veen,,,Female,,,,,,,,,,,,,,,,,,,,,,
Niclaes Egbertsz. Van Sturck,Merchant,M,Male,,1642,1638/07/12,,,,P. Meulenaer,Transfer or Sale,Reformed,Dutch,38,Y,479,27,Y,,,Y,,,,
P. Meulenaer,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelis Henricx Rijser,Dean,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrick Pottey,,,Male,,,,,,,,,,,,,,,,,,,,,,
Claes Egbertsz. Sturck,Headmen of Guild,,Male,,,,,,,,,,,,,,,,,,,,,,
Willem Stritman,,,Male,,,,,,,,,,,,,,,,,,,,,,
Maria Goverts,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Catrina Egbertsz.,,,Female,,,,,,,,,,,,,,,,,,,,,,
Maria Claes,,,Female,,,,,,,,,,,,,,,,,,,,,,
Sara Hiole,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jacqueline le Cocq,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jeronimo Vittori,Horticulturist,,Male,,,,,,,,,,,,,,,,,,,,,,
Isaacq Hiole,,,Male,,,,,,,,,,,,,,,,,,,,,,
Esaias Hiole,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anna van Steenbergen,,,Female,,,,,,,,,,,,,,,,,,,,,,
Willem Egbertsz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Sara van de Venne,,,Female,,,,,,,,,,,,,,,,,,,,,,
Aletta van de Venne,,,Female,,,,,,,,,,,,,,,,,,,,,,
Baertie van der Venne,,,Female,,,,,,,,,,,,,,,,,,,,,,
Willem van Steenberch,Alderman,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelia Bartholomeusdr. Van der Sturck,,,Female,1626,,,,,,,,,,,,,,,,,,,,,
Coenraad Temminck,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Bartholomeus Egbertsz. Van der Sturck,,,Male,,,,,,,,,,,,,,,,,,,,,,
Reynier Jansz. van Wijn,,,Male,,,1634/11/10,,,,Jacob van Zwieten,Transfer or Sale,,,14,Y,480,14,,,,,,,,
Andriaen Jansz. Pleecker,,,Male,,,,,,,,,,,,,,,,,,,,,,
Andries Andriessen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anthony du Plouijs,Manufacturer,M,Male,,,1638,Aeltgen Claes,Annetge Hendrix,,Jacob Jacobsz.,Death,,,11,Y,481,11,Y,,,Y,,,,
Janneken du Paeme,,W,Female,,,1638,Aeltgen Claes,Annetge Hendrix,,Jacob Jacobsz.,Death,,,11,Y,481,11,Y,,,Y,,,,
Antonij du Plouijs II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Janneken du Plouijs,,,Female,,,,,,,,,,,,,,,,,,,,,,
Janneken Mathijs,,,Female,,,,,,,,,,,,,,,,,,,,,,
Aeltgen Henricx,,,Female,,,,,,,,,,,,,,,,,,,,,,
Cornelis Jacobsz.,,,Female,,,,,,,,,,,,,,,,,,,,,,
Gillis Vertangen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Abraham van der Sluijs,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter du Ploijs,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anthony Thijsz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Gillis du Plouijs,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans Thijsz. de jonge,Artist,,Male,1592,,,,,,,,,,,,,,,,,,,,,
Peter Paul Rubens,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Augustijn Thijsz.,,,Male,1586,,,,,,,,,,,,,,,,,,,,,
Magdalena Beltens,,M,Female,1610,1654,1630,,,,,,Reformed,,141,Y,1088,107,Y,,Y,Y,,,,
Andreas de Bacher,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anthonie Thyskens,Professor,,Male,1595,,,,,,,,,,,,,,,,,,,,,
Jacques Beltesz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Abigael Thijssen,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter Wachtendorp (Wachtendonck?),,,Male,,,,,,,,,,,,,,,,,,,,,,
Janneken de Raet,,,Female,,,,,,,,,,,,,,,,,,,,,,
Elisabeth Bacher,,,Female,,,,,,,,,,,,,,,,,,,,,,
Joannes Thijsz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Magdalena Beltens,,,Female,1600,,,,,,,,,,,,,,,,,,,,,
Pieter Beltens de jonge,,,Male,,,,,,,,,,,,,,,,,,,,,,
Levina Thijsz.,,,Female,1630,,,,,,,,,,,,,,,,,,,,,
Constantin l'Empereur,,,Female,,,,,,,,,,,,,,,,,,,,,,
Costantia Coijmans,,,Female,1607,1673,,,,,,,,,,,,,,,,,,,,
Christoffel Thijsz.,,,Male,1603,,,,,,,,,,,,,,,,,,,,,
Henrick Hoochcamer,Merchant,M,Male,1601,,1639/01/17,,,,J. van der Ven,Transfer,,Dutch,62,Y,482,47,Y,,Y,Y,,,,
Joan Ingels,Lawyer,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Pietersz. Hooghkamer,Dealer,,Male,,,,,,,,,,,,,,,,,,,,,,
Ida Hendricks Cort. Jan Pietersz.,,,Female,,,,,,,,,,,,,,,,,,,,,,
Maria de Vogelaer,,M,Female,1606,1638,,,,,,,,,,,,,,,,,,,,
Marcus de Vogelaer,,,Male,1564,,,,,,,,,,,,,,,,,,,,,
Margaretha van Valckenburgh,,,Female,,1650,,,,,,,Reformed,,,,,,,,,,,,,
Jannetgen Brouwer,,,Female,,,,,,,,,,,,,,,,,,,,,,
Wouter de Leeuw,,,Male,,,,,,,,,,,,,,,,,,,,,,
Joan (Johannes) de Vogelaer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelis van Bruegel,,,Male,,,,,,,,,,,,,,,,,,,,,,
Laurentje Brouwers,,,Male,,,,,,,,,,,,,,,,,,,,,,
Isabeau de Vogelaer,,,Female,,,,,,,,,,,,,,,,,,,,,,
Johan Dedel,,,Male,,,,,,,,,,,,,,,,,,,,,,
Marcus de Vogelaer II,,,Male,1590,,,,,,,,,,,,,,,,,,,,,
Geertruyd van Collen (Ceulen),,,Female,,,,,,,,,,,,,,,,,,,,,,
Caspar van Ceulen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Catharina Velaer,,,Female,1596,,,,,,,,,,,,,,,,,,,,,
Jacques de Velaer,Merchant,,Male,,,,,,,,,,Flemish,,,,,,,,,,,,
Paulus van Hertsbeeck I,,,Male,,,,,,,,,,,,,,,,,,,,,,
Paulus van Hertsbeeck II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Johanna Velaer,,,Female,,,,,,,,,,,,,,,,,,,,,,
Anna de Vogelaer,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan ten Grootenhuis Jansz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Daniel de Vogelaer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Barbara van de Perre,,,Female,,,,,,,,,,,,,,,,,,,,,,
Balthasar van de Perre,,,Male,,,,,,,,,,,,,,,,,,,,,,
Sara de Vogelaer,,,Female,,,,,,,,,,,,,,,,,,,,,,
Gerhardus van der Nypoort,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hester de Vogelaer,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jacob (Aernoutsz.) van Erp,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hieronymus van Uffelen,,,Male,,1628,,,,,,,,,,,,,,,,,,,,
Jonker Hendrick Schaep,,,Male,,,,,,,,,,,,,,,,,,,,,,
Albertus Rusius,Professor,,Male,,,,,,,,,,,,,,,,,,,,,,
Maria de Vogelaer Marcusdr.,,,Female,1625,1678,,,,,,,,,,,,,,,,,,,,
Salomon Sweers,,,Male,,,,,,,,,,,,,,,,,,,,,,
Lucas van Peenen,,M,Male,,,1630/04/29,,,,Jan Warnaerts,Bankruptcy,,Flemish,39,Y,483,32,Y,,Y,Y,,,,
Pieter Jolijt,Ironmonger,,Male,,,,,,,,,,,,,,,,,,,,,,
Catharina van Peen,,M,Female,,,,,,,,,,Flemish,,,,,,,,,,,,
Melchior van Hoorn,,,Male,,,,,,,,,,,,,,,,,,,,,,
Susanna Jolijt Pieters,,,Female,,,,,,,,,,,,,,,,,,,,,,
Cornelia van Hoorn,,,Female,,,,,,,,,,,,,,,,,,,,,,
Isaack van Peenen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Jolijt II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Fransoijs de Heem,Merchant,,Male,,,1634/04/06,,,,Palm Mathijs,Sale,,,17,Y,484,17,,,,Y,,,,
Otto Roeloffs Walsburch,,,Male,,,,,,,,,,,,,,,,,,,,,,
Elisabeth van der Well,,W,Female,1601,1631,1631/04/10,,,,Laurens Lamberti,Prenuptial,Reformed,Dutch,40,Y,4090,28,Y,,Y,Y,Y,,Y,
Jan Pietersz. Du Bien,,,Male,,,,,,,,,,,,,,,,,,,,,,
Adriaen Jacobsz. Van Noort,Merchant,M,Male,1567,,1639/01/08,,,,Cornelis Hoogenboom,Inventory Drawn at Request,Remonstrant,Norwegian,64,Y,409,61,Y,,Y,,,,,
Griet Jans Root,,,Female,,,,,,,,,,,,,,,,,,,,,,
Nicolaes (Claes) Corver,,,Male,,,,,,,,,,,,,,,,,,,,,,
Frans Wolphertsz. Van den Bergh,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans van Solt II,,M,Male,,,1639/06/30,,,,Jan Bosch,Sale,,Flemish,21,Y,21567,19,,,Y,Y,,,,
Hans van Solt III,,,Male,,,,,,,,,,,,,,,,,,,,,,
Maria de Wolf,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Maria van Marel,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Bosch,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Guillame Bartolotti,,,Male,,,,,,,,,,,,,,,,,,,,,,
Emanuel van Surck,,,Male,,,,,,,,,,,,,,,,,,,,,,
Andries Dionijs Winijus (Winius),,M,Male,,,1631/05/26,,,,Jacob van Zwieten,Transfer,Reformed,Dutch,53,Y,487,44,Y,,Y,Y,,,,
Dionysius Tjercksz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Maritgen Andriesdr. Vekemans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Geertruyd van Rijn,,,Female,,,,,,,,,,,,,,,,,,,,,,
Willem Jacobsz. Van Rijn,,,Male,,,,,,,,,,,,,,,,,,,,,,
Trijntge Dircks,,,Female,,,,,,,,,,,,,,,,,,,,,,
Cornelis Jochums,,,Male,,,,,,,,,,,,,,,,,,,,,,
Claes Adamsz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Geert Lambrecht,,,Female,,,,,,,,,,,,,,,,,,,,,,
Thomas de Swaenn,,,Male,,,,,,,,,,,,,,,,,,,,,,
Peter Marcelis,,,Male,,,,,,,,,,,,,,,,,,,,,,
Gabriel Marcelis,,,Male,,,,,,,,,,,,,,,,,,,,,,
Celio Marcelis,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacob de Lange,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans Marssou,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacques Bygoet (Bijgoet),Silversmith,,Male,,,,,,,,,,,,,,,,,,,,,,
Isaak Luttichuys,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Giertje Jans (Hermans),Baker,W,Female,,,1637/07/03,Aeltgen Claes,Annetge Hendrix,,C. Verbeecq,Death,,,10,Y,488,9,,,,,,,,
Harmen Luijcasz.,,M,Male,,,,,,,,,,,,,,,,,,,,,,
Luijcasz. Luijcasz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Gerrit Jansz. Kock,,,Male,,,,,,,,,,,,,,,,,,,,,,
Reijer Claesz.,Merchant,M,Male,1577,1636,1638/12/11,Aeltgen Claes,Annetge Hendrix,,Cornelis Hoogenboom,Death,,Dutch,25,Y,490,13,,,Y,Y,,,,
Maria Clock,,W,Female,,,1638/12/11,Aeltgen Claes,Annetge Hendrix,,Cornelis Hoogenboom,Death,,Dutch,25,Y,490,13,,,Y,Y,,,,
Claes Martensz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Griet Simonsdr.,,,Female,,,,,,,,,,,,,,,,,,,,,,
Cathrijne Jans Appelman,,,Female,1578,,,,,,,,,Polish,,,,,,,,,,,,
Jan Simonsz. Appelman,,,Male,,,,,,,,,,Polish,,,,,,,,,,,,
Geertgen Alberts,,,Female,,,,,,,,,,Polish,,,,,,,,,,,,
Trijntgen Willems Kieff,,,Female,,,,,,,,,,,,,,,,,,,,,,
Margrieta Loots,,,Female,,,,,,,,,,,,,,,,,,,,,,
Aechtgen van Campen,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter Hermansz.,Dealer,,Male,,,,,,,,,,,,,,,,,,,,,,
Anthony Auckema,Broker,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Gerritsz. Hooft,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans Reyersz. Claesz.,Merchant,M,Male,,,1631/12/05,,,,Cornelis Hoogenboom,Transfer,,Dutch,22,Y,1169,22,,,,,,,,
Reyer Claesz. ,,,Male,,,,,,,,,,,,,,,,,,,,,,
Dirck Gerritsz. Niesen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelis Henricxz. Verwer,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Lievens,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Gerritsz. Hooft,,,Male,1551,1600,,,,,,,,,,,,,,,,,,,,
Stijntgen Gerrits Niesen,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Gerritsz. Hooft,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Wischman,Craftsman,M,Male,,,1639/01/07,,,,Laurens Lamberti,Death,,,13,Y,498,10,,,,,,,,
Margareta Ariaens,,W,Female,,,1639/01/07,,,,Laurens Lamberti,Death,,,13,Y,498,10,,,,,,,,
Cornelis van Santvliet,,,Male,,,1639/02/05,,,,Sebastiaen van der Piet,Goods,,,9,Y,550,8,Y,,Y,,,,,
Sebastiaen van der Piet,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Frans Jacobsz. Van Leeuwen,Surgeon,,Male,,,,,,,,,,,,,,,,,,,,,,
Carel Leendertsz. (Lenartsz.),Dealer,M,Male,,,1636/02/08,,,,Daniel Jansz. Van Beuningen,Auction,,Dutch,7,Y,640,7,Y,,,,,,,
Jan Willemsz. Bogaert,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Jacobsz. Elias,,,Male,,,,,,,,,,,,,,,,,,,,,,
Grietje van der Hart,,,Female,,,,,,,,,,,,,,,,,,,,,,
Margrite Kaerl Lenaerts,,,Female,,,,,,,,,,,,,,,,,,,,,,
Daniel Plancius,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Plancius,Rector of Latin School,,Male,,,,,,,,,,,,,,,,,,,,,,
Barber Melder,,,Female,,,1635/01/11,,,,Daniel Jansz. Van Beuningen,Auction,,,19,Y,639,19,,,Y,,,,,
Pieter van Meldert,,W,Male,,,1653/10/01,,,,Jan de Vos,Death,,Dutch,89,Y,184,89,Y,,,Y,,,,
Maria Le Febure,,M,Female,,,1653/10/01,,,,Jan de Vos,Death,,Dutch,89,,,89,Y,,,Y,,,,
Harmen Marinus,Employee,M,Male,,,1630/01/04,,,,Daniel Jansz. Van Beuningen,Sale,,Dutch,11,Y,633,9,,,,Y,,,,
Neeltje Willems,,M,Female,,,,,,,,,,Dutch,,,,,,,,,,,,
Annetje Marinus,,,Female,,,,,,,,,,,,,,,,,,,,,,
Symon van der Does,,,Male,,,,,,,,,,,,,,,,,,,,,,
Grietje Jans 2,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Meynertsz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Annetje Tysdr. ,,,Female,,,,,,,,,,,,,,,,,,,,,,
Marinus Hermansz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Barent van Someren,Artist,M,Male,1572,1632,1635/02/22,,,,Daniel Jansz. Van Beuningen,Auction,,Flemish,519,Y,634,,,,,,,,,Y
Hans van Cleeff,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrick Duysterloo,,,Male,,,,,,,,,,,,,,,,,,,,,,
Franchoys Strick,Jeweler ,,Male,,,,,,,,,,,,,,,,,,,,,,
Carlo Hellemans,,,Male,,,,,,,,,,,,,,,,,,,,,,
Adriaentgen Thomas,,,Female,,,,,,,,,,,,,,,,,,,,,,
Hans van Someren,,,Male,,,,,,,,,,Flemish,,,,,,,,,,,,
Pauwels van Someren,Artist,,Male,,,,,,,,,,Flemish,,,,,,,,,,,,
Cathalyntge Bisschops,,,Female,,,,,,,,,,,,Y,577,,,,,,,,,
Pieter Heeseman,,,Male,,,,,,,,,,,,Y,577,,,,,,,,,
Adriaen van Nieulandt,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Cornelisz. Blyenbergh,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Marines,Art Dealer,,Male,,,,,,,,,,,,,,,,,,,,,,
Dianora (Leonora) Mytens,,M,Female,,1649,,,,,,,,Italian,,,,,,,,,,,,
Anna van Someren,,,Female,,,,,,,,,,,,,,,,,,,,,,
Sara van Someren,,,Female,,,,,,,,,,,,,,,,,,,,,,
Aert van Someren,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrick van Someren,,,Male,,,,,,,,,,,,,,,,,,,,,,
Maria van Someren,,,Female,,,,,,,,,,,,,,,,,,,,,,
Leonora van Someren,,,Female,,,,,,,,,,,,,,,,,,,,,,
Constantia van Someren,,,Female,,,,,,,,,,,,,,,,,,,,,,
Susanna van Someren,,,Female,,,,,,,,,,,,,,,,,,,,,,
Hans Wynants,Packer,W,Male,1579,1635,1635/07/10,,,,Daniel Jansz. Van Beuningen,Auction,,Flemish,61,Y,636,58,Y,,Y,Y,,,,
Joris Wynants,,,Male,,,,,,,,,,,,,,,,,,,,,,
Catelijn Snyers (van Dolenbergh),,M,Female,1580,1635,,,,,,,,German,,,,,,,,,,,,
Hans Hongte,,,Male,,,,,,,,,,,,,,,,,,,,,,
Francois Gysels,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrick van Riet,,,Male,,,,,,,,,,,,,,,,,,,,,,
Joris Wynants II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Abraham Wynants,,,Male,1617,,,,,,,,,,,,,,,,,,,,,
Isaac Wynants,,,Male,1620,,,,,,,,,,,,,,,,,,,,,
Jacob Wynants,,,Male,1623,,,,,,,,,,,,,,,,,,,,,
Egbert Bisschop,Cloth finisher,M,Male,1605,1635,1635/03/20,,,,Daniel Jansz. Van Beuningen,Auction,,,14,Y,638,10,Y,,,,,,,
Aeltge Feuler,,M,Female,,,1635/03/20,,,,Daniel Jansz. Van Beuningen,Auction,,,14,Y,638,10,Y,,,,,,,
Suanna Robbrecht Zollewaerts,,,Female,1585,,,,,,,,,,,,,,,,,,,,,
Johan Fauler (Fowler),,,Male,,,,,,,,,,,,,,,,,,,,,,
Rederick Feulerus,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan de Weij,Lawyer,,Male,,,,,,,,,,,,,,,,,,,,,,
Willem Cats,Lawyer,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Willemsz. Palmboom,Textile Manufacturer,,Male,,,1636/03/19,,,,Daniel Jansz. Van Beuningen,Auction,,,15,Y,641,12,,,Y,,,,,
Catelyn van Ruysch,,,Female,,,,,,,,,,,,,,,,,,,,,,
Sara Willems Palmboom,,,Female,,,,,,,,,,,,,,,,,,,,,,
Michiel Kuijpers,Artist,M,Male,,,1636/07/07,,,,Daniel Jansz. Van Beuningen,Auction,,,94,Y,642,,,,,,,,,
Marten Imbrecht,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Arijaentge Michiels,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Sara Kuijpers,,,Female,,,,,,,,,,,,,,,,,,,,,,
Neel Jans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter Lefebvre I,Artist,M,Male,1576,1636,1637/04/07,,,,Daniel Jansz. Van Beuningen,Auction,,Dutch,59,Y,643,48,Y,,Y,Y,,,Y,
Catherine le Maijre,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Catharina Lefebvre,,,Female,1602,,,,,,,,,,,,,,,,,,,,,
Janneken Milloents,,,Female,,,,,,,,,,,,,,,,,,,,,,
Robert Luykas,,,Male,,,,,,,,,,,,,,,,,,,,,,
Abraham Lefebvre,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Lefebvre II,,,Male,1608,1635,,,,,,,,,,,,,,,,,,,,
Samuel Lefebvre,,,Male,1610,,,,,,,,,,,,,,,,,,,,,
Marie Garnier,,,Female,,,,,,,,,,,,,,,,,,,,,,
Elisabeth Charette,,,Female,,,,,,,,,,,,,,,,,,,,,,
Hans Lemaijre,Leather Gilder,,Male,,,,,,,,,,,,,,,,,,,,,,
Anthony Claesz. De jonge,,,Male,,,,,,,,,,,,,,,,,,,,,,
Nicole Wimer (Wijmer),,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter Wijmer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jenne (Joanna) Wijmer,,,Female,,,,,,,,,,,,,,,,,,,,,,
Guilliamme Six,,,Male,,,,,,,,,,,,,,,,,,,,,,
Willem Six,,,Male,,,,,,,,,,,,,,,,,,,,,,
Nicolaes Hespel,,,Male,,,,,,,,,,,,,,,,,,,,,,
Carel Cotteman,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Gaillard,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Samuel Hespel,,,Male,,,,,,,,,,,,,,,,,,,,,,
Abraham le Febure I,,,Male,1577,,,,,,,,,,,,,,,,,,,,,
Magdalena le Febure,,,Female,,,,,,,,,,,,,,,,,,,,,,
Johannes van Heusden II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Johannes van Heusden,,,Male,,,,,,,,,,,,,,,,,,,,,,
Gabrant van Warmenhuysen,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Susanna le Febure,,,Female,,,,,,,,,,,,,,,,,,,,,,
Josias Marschal,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jeremias Hachgens,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anneken Lefebvre ,,,Female,1619,,,,,,,,,,,,,,,,,,,,,
Jacques Lefebvre,,,Male,,,,,,,,,,,,,,,,,,,,,,
Sara Briels,,,Female,,,,,,,,,,,,,,,,,,,,,,
Margaretha Steets,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter le Febure III,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter le Feber IV,Apothecary,,Male,,,,,,,,,,,,,,,,,,,,,,
Magdalena Jouderville,,M,Female,,,1643/11/07,,,,Sebastiaen van der Piet,Prenuptial,,Flemish,134,Y,557,78,Y,,Y,Y,,,,
Juliaen Teniers,Artist,M,Male,,,1643/11/07,,,,Sebastiaen van der Piet,Prenuptial,,,134,Y,557,78,Y,,Y,Y,,,,
Isaack van Jouderville,Artist,M,Male,,,,,,,,,,,,,,,,,,,,,,
Maria Abrahams,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter van Beyerlant,,,Male,,,,,,,,,,,,,,,,,,,,,,
Abraham Willemsz. Van Beyerlant,Civet Dealer,,Male,,,,,,,,,,,,,,,,,,,,,,
Denis Denijsz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Harmen Reyniersz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Denijs,Brewer,,Male,,,,,,,,,,,,,,,,,,,,,,
Diego Gomes da Costa,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
