Name,Historical Significance,Marital Status,Sex,Birthdate,Deathdate,Date of Appraisal ,Appraiser 1,Appraiser 2,Appraiser 3,Notary,Inventory Purpose,Religion,Nationality,Number of Items,Montias INVNO,Montias INVNO 2,Number of Paintings,Portraits,Rembrandt,Mythology,Still Life,Tapestry,Rariteiten,Textiles,Rubens
Isaack Castelijn,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Harmansz. ,Apprentice,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacob Jacobsz.,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Barbara Roseau,,,Female,,,,,,,,,,,,,,,,,,,,,,
Anne Roseau,,,Female,,,,,,,,,,,,,,,,,,,,,,
Franchois de Gouve,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Marry d'Arras,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Lambrechtsz. ,Keurmeester van de hennip,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelis Coenen,,M,Male,,,1643/07/01,,,,Pieter Barcman,Death,Roman Catholic,,46,Y,284,34,Y,,Y,,,,,
Grietge Francken,,M,Female,,,1643/07/01,,,,Pieter Barcman,Death,Roman Catholic,,46,Y,284,34,Y,,Y,,,,,
Annetge Hendrix,Appraiser ,,Female,,,,,,,,,,,,,,,,,,,,,,
Aeltgen Claes,Appraiser ,,Female,,,,,,,,,,,,,,,,,,,,,,
Thomas de Keyser,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacob Hellerus,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Claes Moeyaert,Appraiser ,,Male,,,,,,,,,,,,,,,,,,,,,,
Laurens Lamberti,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacob Westfrisius,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Barcman,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Palm Mathijs,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
C. Verbeecq,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Hogenboom,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan de Vos,Notary,,Male ,,,,,,,,,,,,,,,,,,,,,,
Lucas Luce,Appraiser ,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrick Uylenburgh,Dealer,,Male,,,,,,,,,,,,,,,,,,,,,,
Willem Hasen,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
